Fac_A,Fac_B,g_ijk,n_ijk,r
N4,2016,7,30,0.233333333
N4,2016,12,30,0.4
N4,2016,5,30,0.166666667
N4,2016,8,30,0.266666667
N4,2017,9,30,0.3
N4,2017,6,30,0.2
N4,2017,7,30,0.233333333
N14,2016,2,30,0.066666667
N14,2016,4,30,0.133333333
N14,2016,2,30,0.066666667
N14,2016,1,30,0.033333333
N14,2017,3,30,0.1
N14,2017,3,30,0.1
N14,2017,5,30,0.166666667
S10,2016,1,30,0.033333333
S10,2016,2,30,0.066666667
S10,2016,1,30,0.033333333
S10,2016,1,30,0.033333333
S10,2017,1,30,0.033333333
S10,2017,3,30,0.1
S10,2017,3,30,0.1
C18,2016,2,30,0.066666667
C18,2016,7,30,0.233333333
C18,2016,1,30,0.033333333
C18,2016,3,30,0.1
C18,2017,3,30,0.1
C18,2017,3,30,0.1
C18,2017,5,30,0.166666667
K4,2016,13,30,0.433333333
K4,2016,7,30,0.233333333
K4,2016,10,30,0.333333333
K4,2016,10,30,0.333333333
K4,2017,11,30,0.366666667
K4,2017,9,30,0.3
K4,2017,11,30,0.366666667
N15,2016,0,30,0.0
N15,2016,0,30,0.0
N15,2016,0,30,0.0
N15,2017,2,30,0.066666667
N15,2017,2,30,0.066666667
N15,2017,1,30,0.033333333
S3,2016,0,30,0.0
S3,2016,2,30,0.066666667
S3,2016,0,30,0.0
S3,2017,2,30,0.066666667
S3,2017,2,30,0.066666667
S3,2017,1,30,0.033333333
S19,2016,1,30,0.033333333
S19,2016,4,30,0.133333333
S19,2016,5,30,0.166666667
S19,2016,6,30,0.2
S19,2017,11,30,0.366666667
S19,2017,10,30,0.333333333
S19,2017,8,30,0.266666667
