Fac_A,Fac_B,g_ijk,n_ijk,r
1,2016,7,30,0.233333333
1,2016,12,30,0.4
1,2016,5,30,0.166666667
1,2016,8,30,0.266666667
1,2017,9,30,0.3
1,2017,6,30,0.2
1,2017,7,30,0.233333333
2,2016,2,30,0.066666667
2,2016,4,30,0.133333333
2,2016,2,30,0.066666667
2,2016,1,30,0.033333333
2,2017,3,30,0.1
2,2017,3,30,0.1
2,2017,5,30,0.166666667
3,2016,1,30,0.033333333
3,2016,2,30,0.066666667
3,2016,1,30,0.033333333
3,2016,1,30,0.033333333
3,2017,1,30,0.033333333
3,2017,3,30,0.1
3,2017,3,30,0.1
4,2016,2,30,0.066666667
4,2016,7,30,0.233333333
4,2016,1,30,0.033333333
4,2016,3,30,0.1
4,2017,3,30,0.1
4,2017,3,30,0.1
4,2017,5,30,0.166666667
5,2016,13,30,0.433333333
5,2016,7,30,0.233333333
5,2016,10,30,0.333333333
5,2016,10,30,0.333333333
5,2017,11,30,0.366666667
5,2017,9,30,0.3
5,2017,11,30,0.366666667
6,2016,0,30,0
6,2016,0,30,0
6,2016,0,30,0
6,2017,2,30,0.066666667
6,2017,2,30,0.066666667
6,2017,1,30,0.033333333
7,2016,0,30,0
7,2016,2,30,0.066666667
7,2016,0,30,0
7,2017,2,30,0.066666667
7,2017,2,30,0.066666667
7,2017,1,30,0.033333333
8,2016,1,30,0.033333333
8,2016,4,30,0.133333333
8,2016,5,30,0.166666667
8,2016,6,30,0.2
8,2017,11,30,0.366666667
8,2017,10,30,0.333333333
8,2017,8,30,0.266666667
